Table S16. Sulfur utilization.,,,,,,,,,,,,,,,,,,,
#Strain,Habitat,BlmFreq,BlmType,cysATWP,sat,cysH,sir,cysC,tauABCD,ssuABCDE,sulP,cysZ,sll1080-2,srpKLM,sc8g1220-22,cysGIJ,cysKM,cysE,cysDN
Anabaena_cylindrica_PCC_7122,F,64,F,2|4|9|A3P2T2W2,1|s,1|s,2|s,1|s,0|4|2|A0B0C0D2,1|5|7|A3B1C1D1E1,2|s,0|s,0|3|2|A1B0C1,0|3|5|K0L3M2,0|3|3|A1B2C0,0|3|3|G2I1J0,1|2|6|K5M1,2|s,0|2|1|D0N1
Anabaena_sp._90,F,64,F,2|4|8|A2P2T2W2,1|s,1|s,3|s,0|s,0|4|0|A0B0C0D0,0|5|0|A0B0C0D0E0,1|s,0|s,0|3|0|A0B0C0,0|3|4|K0L2M2,0|3|3|A0B3C0,0|3|2|G2I0J0,1|2|4|K3M1,2|s,0|2|1|D0N1
Anabaena_sp._PCC_7108,M,64,F,2|4|10|A3P2T3W2,1|s,1|s,3|s,1|s,0|4|1|A0B0C0D1,0|5|0|A0B0C0D0E0,1|s,0|s,0|3|3|A2B1C0,0|3|2|K0L1M1,0|3|3|A0B3C0,0|3|2|G2I0J0,0|2|4|K4M0,2|s,0|2|1|D0N1
Anabaena_variabilis_ATCC_29413,F,64,F,2|4|10|A3P3T2W2,1|s,1|s,2|s,0|s,0|4|2|A0B0C0D2,1|5|11|A6B1C1D2E1,1|s,0|s,0|3|3|A1B0C2,0|3|9|K0L6M3,0|3|6|A2B4C0,0|3|3|G2I1J0,2|2|5|K3M2,3|s,0|2|1|D0N1
Aphanizomenon_flos-aquae_2012/KM/D3,F,46,F,2|4|9|A3P2T2W2,0|s,0|s,4|s,4|s,0|4|0|A0B0C0D0,0|5|0|A0B0C0D0E0,1|s,0|s,0|3|0|A0B0C0,0|3|6|K0L4M2,0|3|5|A1B4C0,0|3|1|G1I0J0,1|2|4|K3M1,1|s,0|2|1|D0N1
Aphanizomenon_flos-aquae_NIES-81,F,46,F,1|4|8|A2P2T3W1,1|s,1|s,3|s,1|s,0|4|2|A0B0C0D2,1|5|7|A3B1C1D1E1,1|s,0|s,0|3|0|A0B0C0,1|3|7|K1L4M2,0|3|5|A1B4C0,0|3|2|G2I0J0,1|2|5|K4M1,2|s,0|2|1|D0N1
Arthrospira_platensis_C1,A,1,O,1|4|12|A4P1T3W4,1|s,1|s,3|s,1|s,0|4|0|A0B0C0D0,0|5|0|A0B0C0D0E0,2|s,0|s,0|3|0|A0B0C0,0|3|4|K0L3M1,0|3|4|A1B3C0,0|3|2|G2I0J0,0|2|3|K3M0,2|s,0|2|1|D0N1
Calothrix_sp._PCC_6303,F,0,N,1|4|10|A4P1T2W3,1|s,1|s,2|s,0|s,0|4|0|A0B0C0D0,0|5|1|A0B0C1D0E0,1|s,0|s,0|3|1|A0B0C1,2|3|10|K2L5M3,0|3|5|A1B4C0,0|3|2|G2I0J0,1|2|3|K2M1,2|s,0|2|1|D0N1
Calothrix_sp._PCC_7103,F,0,N,2|4|10|A4P2T2W2,1|s,1|s,2|s,1|s,0|4|0|A0B0C0D0,0|5|1|A0B0C0D1E0,3|s,0|s,0|3|1|A1B0C0,0|3|9|K0L6M3,0|3|6|A1B5C0,0|3|2|G2I0J0,2|2|6|K4M2,2|s,0|2|1|D0N1
Calothrix_sp._PCC_7507,F,0,N,2|4|11|A3P4T2W2,1|s,1|s,2|s,1|s,0|4|3|A0B0C0D3,1|5|23|A13B1C1D7E1,0|s,0|s,0|3|1|A0B0C1,0|3|4|K0L2M2,0|3|4|A1B3C0,0|3|2|G2I0J0,1|2|5|K4M1,5|s,0|2|1|D0N1
Chamaesiphon_minutus_PCC_6605,F,0,N,1|4|6|A3P1T1W1,1|s,1|s,2|s,2|s,0|4|3|A0B2C0D1,0|5|2|A2B0C0D0E0,2|s,0|s,1|3|8|A3B1C4,0|3|7|K0L5M2,0|3|6|A3B3C0,0|3|2|G2I0J0,1|2|4|K3M1,3|s,0|2|0|D0N0
Crocosphaera_watsonii_WH_0003,M,0,N,0|4|4|A2P0T2W0,1|s,1|s,2|s,1|s,0|4|0|A0B0C0D0,0|5|0|A0B0C0D0E0,4|s,0|s,0|3|0|A0B0C0,0|3|0|K0L0M0,0|3|0|A0B0C0,0|3|2|G2I0J0,1|2|2|K1M1,2|s,0|2|1|D0N1
Crocosphaera_watsonii_WH_0005,M,0,N,0|4|2|A0P0T2W0,1|s,1|s,2|s,1|s,0|4|0|A0B0C0D0,0|5|0|A0B0C0D0E0,3|s,0|s,0|3|0|A0B0C0,0|3|0|K0L0M0,0|3|0|A0B0C0,0|3|2|G2I0J0,1|2|2|K1M1,1|s,0|2|1|D0N1
Crocosphaera_watsonii_WH_0401,M,0,N,0|4|3|A1P0T2W0,1|s,1|s,2|s,1|s,0|4|1|A0B0C1D0,0|5|0|A0B0C0D0E0,3|s,0|s,0|3|0|A0B0C0,0|3|0|K0L0M0,0|3|0|A0B0C0,0|3|2|G2I0J0,1|2|2|K1M1,2|s,0|2|1|D0N1
Crocosphaera_watsonii_WH_0402,M,0,N,0|4|3|A1P0T2W0,1|s,1|s,2|s,1|s,0|4|1|A0B0C1D0,0|5|0|A0B0C0D0E0,4|s,1|s,0|3|0|A0B0C0,0|3|0|K0L0M0,0|3|0|A0B0C0,0|3|2|G2I0J0,1|2|2|K1M1,2|s,0|2|1|D0N1
Crocosphaera_watsonii_WH_8501,M,0,N,0|4|4|A2P0T2W0,1|s,1|s,2|s,1|s,0|4|1|A0B0C1D0,0|5|0|A0B0C0D0E0,3|s,1|s,0|3|0|A0B0C0,0|3|0|K0L0M0,0|3|0|A0B0C0,0|3|2|G2I0J0,1|2|2|K1M1,2|s,0|2|1|D0N1
Crocosphaera_watsonii_WH_8502,M,0,N,0|4|2|A0P0T2W0,1|s,1|s,2|s,1|s,0|4|0|A0B0C0D0,0|5|0|A0B0C0D0E0,3|s,0|s,0|3|0|A0B0C0,0|3|0|K0L0M0,0|3|0|A0B0C0,0|3|2|G2I0J0,0|2|1|K1M0,2|s,0|2|1|D0N1
Cyanothece_sp._ATCC_51142,M,3,O,1|4|9|A3P1T3W2,1|s,1|s,2|s,1|s,0|4|0|A0B0C0D0,0|5|0|A0B0C0D0E0,3|s,0|s,0|3|0|A0B0C0,0|3|3|K0L2M1,0|3|2|A0B2C0,0|3|2|G2I0J0,1|2|2|K1M1,2|s,0|2|1|D0N1
Cyanothece_sp._ATCC_51472,M,3,O,1|4|9|A3P1T3W2,1|s,1|s,2|s,1|s,0|4|0|A0B0C0D0,0|5|0|A0B0C0D0E0,3|s,0|s,0|3|0|A0B0C0,0|3|3|K0L2M1,0|3|2|A0B2C0,0|3|2|G2I0J0,1|2|2|K1M1,2|s,0|2|1|D0N1
Cyanothece_sp._PCC_7425,F,3,O,3|4|21|A9P3T4W5,2|s,3|s,4|s,2|s,0|4|1|A0B1C0D0,0|5|0|A0B0C0D0E0,3|s,1|s,2|3|8|A2B2C4,0|3|14|K0L9M5,0|3|7|A0B7C0,0|3|5|G5I0J0,0|2|6|K6M0,5|s,0|2|2|D0N2
Cyanothece_sp._PCC_7822,F,3,O,2|4|13|A4P4T2W3,1|s,1|s,2|s,1|s,0|4|1|A0B1C0D0,1|5|9|A3B1C2D2E1,1|s,1|s,3|3|9|A3B3C3,0|3|8|K0L5M3,0|3|6|A0B6C0,0|3|3|G3I0J0,1|2|2|K1M1,4|s,0|2|1|D0N1
Cyanothece_sp._PCC_8801,F,3,O,1|4|6|A2P1T1W2,1|s,1|s,2|s,1|s,0|4|0|A0B0C0D0,0|5|0|A0B0C0D0E0,1|s,1|s,0|3|3|A0B0C3,0|3|8|K0L6M2,0|3|3|A1B2C0,0|3|2|G2I0J0,1|2|2|K1M1,2|s,0|2|1|D0N1
Cyanothece_sp._PCC_8802,F,3,O,1|4|6|A2P1T1W2,1|s,1|s,2|s,1|s,0|4|0|A0B0C0D0,0|5|0|A0B0C0D0E0,1|s,1|s,0|3|3|A0B0C3,0|3|8|K0L6M2,0|3|3|A1B2C0,0|3|2|G2I0J0,1|2|2|K1M1,2|s,0|2|1|D0N1
Cylindrospermopsis_raciborskii_CS-505,F,18,F,1|4|8|A2P2T1W3,1|s,1|s,2|s,2|s,0|4|4|A0B1C2D1,1|5|7|A3B1C1D1E1,1|s,0|s,1|3|3|A1B1C1,1|3|6|K1L3M2,0|3|4|A1B3C0,0|3|3|G3I0J0,1|2|2|K1M1,1|s,0|2|1|D0N1
Cylindrospermopsis_raciborskii_UNSW_506,F,18,F,1|4|9|A3P2T1W3,1|s,1|s,2|s,2|s,0|4|5|A0B2C2D1,1|5|6|A2B1C1D1E1,1|s,0|s,0|3|2|A0B1C1,1|3|5|K1L2M2,0|3|2|A1B1C0,0|3|1|G1I0J0,1|2|2|K1M1,1|s,0|2|1|D0N1
Dactylococcopsis_salina_PCC_8305,F,0,N,0|4|3|A3P0T0W0,1|s,2|s,2|s,1|s,0|4|3|A2B0C1D0,0|5|1|A0B0C1D0E0,2|s,1|s,1|3|4|A1B1C2,0|3|2|K0L1M1,0|3|2|A1B1C0,0|3|2|G2I0J0,0|2|2|K2M0,1|s,0|2|1|D0N1
Dolichospermum_circinale_AWQC310F,F,0,N,1|4|7|A2P2T1W2,1|s,1|s,3|s,0|s,0|4|2|A0B0C0D2,0|5|7|A4B1C1D1E0,0|s,0|s,0|3|0|A0B0C0,0|3|5|K0L3M2,0|3|3|A0B3C0,0|3|2|G2I0J0,1|2|3|K2M1,2|s,0|2|1|D0N1
Geminocystis_herdmanii_PCC_6308,F,0,N,1|4|6|A3P1T1W1,1|s,1|s,1|s,1|s,0|4|1|A0B1C0D0,0|5|0|A0B0C0D0E0,2|s,0|s,0|3|2|A1B0C1,0|3|6|K0L4M2,0|3|2|A0B2C0,0|3|2|G1I1J0,1|2|2|K1M1,1|s,0|2|1|D0N1
Halothece_sp._PCC_7418,F,0,N,0|4|4|A3P0T0W1,1|s,1|s,2|s,1|s,0|4|1|A0B0C1D0,0|5|1|A0B0C1D0E0,3|s,1|s,2|3|6|A2B2C2,0|3|0|K0L0M0,0|3|0|A0B0C0,0|3|2|G2I0J0,0|2|3|K3M0,2|s,0|2|1|D0N1
Leptolyngbya_boryana_PCC_6306,F,1,O,3|4|19|A9P4T3W3,1|s,1|s,1|s,0|s,0|4|3|A0B1C1D1,1|5|9|A4B1C1D2E1,1|s,0|s,1|3|9|A3B1C5,0|3|9|K0L6M3,0|3|5|A2B3C0,0|3|2|G1I1J0,0|2|5|K5M0,3|s,0|2|1|D0N1
Leptolyngbya_sp._2LT21S03,M,1,O,1|4|14|A6P2T5W1,1|s,1|s,2|s,2|s,0|4|1|A0B0C1D0,1|5|11|A3B1C4D2E1,0|s,0|s,2|3|8|A2B3C3,1|3|8|K1L4M3,0|3|7|A1B6C0,0|3|1|G1I0J0,1|2|3|K2M1,1|s,0|2|0|D0N0
Leptolyngbya_sp._PCC_6406,F,1,O,1|4|15|A7P1T3W4,1|s,1|s,2|s,1|s,0|4|1|A0B0C1D0,0|5|1|A0B0C1D0E0,4|s,1|s,1|3|6|A2B1C3,1|3|6|K1L3M2,0|3|2|A0B2C0,0|3|2|G2I0J0,1|2|3|K2M1,2|s,0|2|1|D0N1
Lyngbya_majuscula_3L,M,19,F,0|4|6|A3P0T1W2,1|s,2|s,2|s,1|s,0|4|1|A0B0C0D1,0|5|2|A0B0C0D1E1,2|s,0|s,1|3|3|A1B1C1,0|3|0|K0L0M0,0|3|1|A0B1C0,0|3|0|G0I0J0,1|2|3|K2M1,4|s,0|2|1|D0N1
Lyngbya_sp._PCC_8106,M,19,F,1|4|11|A5P1T2W3,1|s,1|s,2|s,1|s,0|4|1|A0B1C0D0,0|5|2|A0B0C1D0E1,2|s,0|s,0|3|0|A0B0C0,0|3|0|K0L0M0,0|3|1|A0B1C0,0|3|2|G2I0J0,0|2|2|K2M0,3|s,0|2|1|D0N1
Microcystis_aeruginosa_DIANCHI905,F,403,F,1|4|7|A2P2T1W2,1|s,1|s,2|s,2|s,0|4|0|A0B0C0D0,0|5|1|A1B0C0D0E0,2|s,0|s,1|3|3|A1B1C1,0|3|6|K0L4M2,0|3|5|A1B4C0,0|3|3|G3I0J0,1|2|3|K2M1,1|s,1|2|3|D1N2
Microcystis_aeruginosa_NIES-843,F,403,F,1|4|8|A3P3T1W1,1|s,1|s,2|s,1|s,0|4|0|A0B0C0D0,0|5|5|A1B0C0D3E1,1|s,0|s,1|3|3|A1B1C1,1|3|6|K1L3M2,0|3|5|A1B4C0,0|3|3|G3I0J0,1|2|4|K3M1,3|s,0|2|1|D0N1
Microcystis_aeruginosa_PCC_7941,F,403,F,1|4|8|A2P3T1W2,0|s,1|s,2|s,1|s,0|4|0|A0B0C0D0,0|5|1|A1B0C0D0E0,2|s,0|s,1|3|4|A1B1C2,1|3|7|K1L3M3,0|3|3|A0B3C0,0|3|3|G3I0J0,1|2|3|K2M1,2|s,0|2|1|D0N1
Microcystis_aeruginosa_PCC_9432,F,403,F,1|4|8|A3P2T1W2,0|s,1|s,2|s,1|s,0|4|1|A0B0C0D1,0|5|2|A1B0C1D0E0,2|s,0|s,1|3|3|A1B1C1,0|3|7|K0L4M3,0|3|5|A0B5C0,0|3|3|G3I0J0,1|2|3|K2M1,2|s,0|2|1|D0N1
Microcystis_aeruginosa_PCC_9443,F,403,F,1|4|9|A3P3T1W2,1|s,1|s,2|s,1|s,0|4|3|A1B0C1D1,0|5|5|A1B0C0D3E1,1|s,0|s,0|3|1|A0B0C1,0|3|8|K0L5M3,0|3|5|A0B5C0,0|3|3|G3I0J0,1|2|3|K2M1,2|s,0|2|1|D0N1
Microcystis_aeruginosa_PCC_9701,F,403,F,1|4|9|A3P3T1W2,1|s,1|s,2|s,1|s,0|4|3|A1B0C1D1,0|5|1|A1B0C0D0E0,1|s,0|s,0|3|0|A0B0C0,1|3|8|K1L4M3,0|3|5|A0B5C0,0|3|3|G3I0J0,1|2|3|K2M1,1|s,0|2|0|D0N0
Microcystis_aeruginosa_PCC_9717,F,403,F,1|4|9|A3P3T1W2,0|s,1|s,2|s,1|s,0|4|0|A0B0C0D0,0|5|1|A1B0C0D0E0,1|s,0|s,1|3|3|A1B1C1,1|3|6|K1L3M2,0|3|6|A1B5C0,0|3|3|G3I0J0,1|2|4|K3M1,3|s,0|2|1|D0N1
Microcystis_aeruginosa_PCC_9806,F,403,F,1|4|7|A2P2T1W2,1|s,1|s,2|s,1|s,0|4|0|A0B0C0D0,0|5|1|A1B0C0D0E0,2|s,0|s,1|3|3|A1B1C1,1|3|7|K1L3M3,0|3|4|A0B4C0,0|3|3|G3I0J0,1|2|3|K2M1,2|s,0|2|1|D0N1
Microcystis_aeruginosa_PCC_9807,F,403,F,1|4|9|A3P3T1W2,1|s,1|s,2|s,1|s,0|4|3|A1B0C1D1,0|5|1|A1B0C0D0E0,2|s,0|s,1|3|3|A1B1C1,0|3|5|K0L3M2,0|3|5|A0B5C0,0|3|2|G2I0J0,1|2|4|K3M1,2|s,0|2|1|D0N1
Microcystis_aeruginosa_PCC_9808,F,403,F,1|4|9|A3P3T1W2,1|s,1|s,2|s,1|s,0|4|0|A0B0C0D0,0|5|2|A1B0C1D0E0,1|s,0|s,1|3|3|A1B1C1,1|3|6|K1L3M2,0|3|5|A1B4C0,0|3|3|G3I0J0,0|2|3|K3M0,2|s,0|2|1|D0N1
Microcystis_aeruginosa_PCC_9809,F,403,F,1|4|9|A3P3T1W2,0|s,1|s,3|s,1|s,0|4|0|A0B0C0D0,0|5|4|A0B0C0D3E1,2|s,0|s,1|3|3|A1B1C1,1|3|7|K1L3M3,0|3|4|A0B4C0,0|3|3|G3I0J0,1|2|4|K3M1,3|s,0|2|1|D0N1
Microcystis_aeruginosa_TAIHU98,F,403,F,1|4|9|A3P3T1W2,1|s,1|s,2|s,1|s,0|4|0|A0B0C0D0,0|5|1|A1B0C0D0E0,1|s,0|s,1|3|3|A1B1C1,0|3|5|K0L2M3,0|3|4|A0B4C0,0|3|3|G3I0J0,1|2|4|K3M1,2|s,0|2|1|D0N1
Microcystis_sp._T1-4,F,403,F,1|4|8|A3P2T1W2,1|s,1|s,2|s,1|s,0|4|0|A0B0C0D0,0|5|1|A1B0C0D0E0,1|s,0|s,0|3|0|A0B0C0,1|3|7|K1L4M2,0|3|5|A1B4C0,0|3|3|G3I0J0,0|2|3|K3M0,1|s,0|2|1|D0N1
Myxosarcina_sp._GI1,M,0,N,1|4|13|A6P1T3W3,1|s,1|s,3|s,1|s,0|4|2|A2B0C0D0,0|5|1|A0B0C1D0E0,5|s,1|s,2|3|10|A4B2C4,0|3|6|K0L3M3,0|3|3|A0B3C0,0|3|2|G2I0J0,0|2|3|K3M0,3|s,0|2|1|D0N1
Nodularia_spumigena_CCY9414,M,4,O,1|4|9|A3P1T3W2,1|s,1|s,2|s,0|s,0|4|0|A0B0C0D0,0|5|0|A0B0C0D0E0,3|s,0|s,0|3|0|A0B0C0,0|3|0|K0L0M0,0|3|0|A0B0C0,0|3|2|G2I0J0,0|2|3|K3M0,2|s,0|2|1|D0N1
Nostoc_sp._PCC_7107,F,4,O,1|4|8|A3P1T2W2,1|s,1|s,2|s,1|s,0|4|2|A0B0C1D1,0|5|4|A2B1C1D0E0,0|s,0|s,0|3|1|A1B0C0,0|3|4|K0L2M2,0|3|3|A0B3C0,0|3|2|G1I0J1,0|2|4|K4M0,3|s,0|2|1|D0N1
Nostoc_sp._PCC_7120,F,4,O,1|4|10|A4P1T3W2,1|s,1|s,2|s,0|s,0|4|0|A0B0C0D0,0|5|0|A0B0C0D0E0,3|s,0|s,0|3|2|A0B0C2,1|3|8|K1L5M2,0|3|5|A2B3C0,0|3|3|G2I1J0,0|2|5|K5M0,2|s,0|2|1|D0N1
Nostoc_sp._PCC_7524,F,4,O,1|4|9|A3P1T2W3,1|s,1|s,2|s,1|s,0|4|0|A0B0C0D0,0|5|2|A0B1C1D0E0,1|s,0|s,0|3|2|A0B0C2,2|3|11|K2L6M3,0|3|3|A1B2C0,0|3|3|G2I1J0,1|2|3|K2M1,2|s,0|2|1|D0N1
Oscillatoria_formosa_PCC_6407,F,15,F,1|4|14|A8P1T4W1,1|s,1|s,2|s,1|s,0|4|1|A0B1C0D0,0|5|1|A1B0C0D0E0,4|s,1|s,1|3|6|A2B1C3,0|3|5|K0L3M2,0|3|2|A1B1C0,0|3|2|G2I0J0,1|2|3|K2M1,4|s,0|2|1|D0N1
Oscillatoria_nigro-viridis_PCC_7112,F,15,F,1|4|14|A7P1T5W1,1|s,1|s,2|s,1|s,0|4|0|A0B0C0D0,0|5|2|A1B0C0D0E1,0|s,1|s,2|3|9|A4B2C3,0|3|6|K0L4M2,0|3|4|A1B3C0,0|3|3|G2I1J0,1|2|4|K3M1,3|s,0|2|2|D0N2
Planktothrix_agardhii_NIVA-CYA_126/8,F,41,F,1|4|11|A4P1T4W2,1|s,1|s,3|s,1|s,0|4|1|A0B1C0D0,0|5|1|A1B0C0D0E0,2|s,0|s,1|3|5|A2B2C1,1|3|6|K1L4M1,0|3|3|A1B2C0,0|3|3|G3I0J0,0|2|2|K2M0,1|s,0|2|2|D0N2
Planktothrix_agardhii_NIVA-CYA_15,F,40,F,1|4|11|A5P1T4W1,1|s,1|s,3|s,1|s,0|4|1|A0B1C0D0,0|5|1|A1B0C0D0E0,3|s,0|s,1|3|6|A3B2C1,1|3|6|K1L4M1,0|3|3|A1B2C0,0|3|3|G3I0J0,0|2|2|K2M0,3|s,0|2|1|D0N1
Planktothrix_agardhii_NIVA-CYA_34,F,40,F,2|4|14|A5P3T4W2,1|s,1|s,3|s,1|s,0|4|1|A0B1C0D0,1|5|6|A2B1C1D1E1,2|s,0|s,1|3|7|A4B2C1,1|3|6|K1L4M1,0|3|3|A1B2C0,0|3|3|G3I0J0,0|2|2|K2M0,1|s,0|2|2|D0N2
