Table S18. Utilization of trace metals and vitamins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Strain,Habitat,BlmFreq,BlmType,ctaA,pacS,Atx,copABC,cueO,fhuBDC,fecBEDC1,futCBA,fecBED2,fecEDB3,futA1A2BC,feoAB,feoC,sufBCD,sfuA,sfuB,sfuC,mntABC,mgtACE,corA,corC,nikMNOQ,nikABCDE,btuFCD,bioYMN,pnuX,impX,slr0642,pnuC
Anabaena_cylindrica_PCC_7122,F,64,F,1|s,5|s,0|s,1|3|9|A4B4C1,0|s,0|3|1|B0C1D0,1|4|7|B2C1D1E3,0|3|3|A0B0C3,1|3|4|B1D1E2,1|3|3|B1D1E1,0|4|0|A0B0C0D0,0|2|0|A0B0,0|s,1|3|3|B1C1D1,0|s,0|s,0|s,2|3|7|A2B2C3,0|3|3|A2C0E1,0|s,3|s,0|4|3|M1N0O2Q0,1|5|14|A1B2C2D4E5,0|3|2|C0D2F0,0|3|1|M1N0Y0,0|s,0|s,1|s,1|s
Anabaena_sp._90,F,64,F,1|s,2|s,0|s,0|3|3|A1B2C0,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|1|A0B0C1,0|3|0|B0D0E0,0|3|0|B0D0E0,0|4|1|A0B0C1D0,0|2|0|A0B0,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,2|3|7|A2B2C3,0|3|4|A3C0E1,1|s,2|s,0|4|4|M1N0O3Q0,2|5|10|A2B2C2D2E2,0|3|1|C0D1F0,0|3|0|M0N0Y0,0|s,0|s,1|s,0|s
Anabaena_sp._PCC_7108,M,64,F,1|s,4|s,0|s,0|3|4|A2B2C0,0|s,0|3|0|B0C0D0,0|4|1|B0C0D0E1,0|3|3|A0B0C3,1|3|5|B1D1E3,1|3|3|B1D1E1,0|4|0|A0B0C0D0,1|2|2|A1B1,0|s,1|3|3|B1C1D1,0|s,0|s,0|s,2|3|7|A2B2C3,1|3|4|A2C1E1,1|s,2|s,0|4|4|M1N0O3Q0,2|5|10|A2B2C2D2E2,0|3|1|C0D1F0,0|3|0|M0N0Y0,0|s,0|s,1|s,0|s
Anabaena_variabilis_ATCC_29413,F,64,F,1|s,4|s,0|s,0|3|5|A2B3C0,1|s,1|3|3|B1C1D1,0|4|1|B0C0D0E1,0|3|2|A0B0C2,1|3|6|B1D2E3,1|3|4|B1D1E2,0|4|1|A0B0C1D0,1|2|2|A1B1,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,2|3|9|A3B2C4,2|3|13|A9C2E2,0|s,2|s,0|4|4|M1N0O3Q0,4|5|24|A5B5C5D5E4,0|3|2|C0D2F0,0|3|0|M0N0Y0,0|s,0|s,1|s,0|s
Aphanizomenon_flos-aquae_2012/KM/D3,F,46,F,1|s,2|s,0|s,0|3|3|A1B2C0,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|3|A0B0C3,0|3|2|B0D0E2,1|3|4|B1D1E2,0|4|0|A0B0C0D0,0|2|1|A0B1,0|s,0|3|2|B0C2D0,0|s,0|s,0|s,1|3|5|A2B1C2,0|3|3|A2C0E1,1|s,3|s,0|4|6|M2N0O4Q0,0|5|7|A1B2C0D2E2,0|3|0|C0D0F0,0|3|0|M0N0Y0,0|s,0|s,1|s,0|s
Aphanizomenon_flos-aquae_NIES-81,F,46,F,1|s,2|s,0|s,0|3|3|A1B2C0,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|2|A0B0C2,0|3|0|B0D0E0,0|3|2|B0D0E2,0|4|0|A0B0C0D0,0|2|0|A0B0,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,2|3|7|A2B2C3,0|3|4|A3C0E1,1|s,2|s,0|4|3|M1N0O2Q0,1|5|9|A1B2C2D2E2,0|3|1|C0D1F0,0|3|0|M0N0Y0,0|s,0|s,1|s,0|s
Arthrospira_platensis_C1,A,1,O,1|s,1|s,0|s,0|3|5|A3B2C0,0|s,0|3|0|B0C0D0,0|4|1|B0C0D0E1,1|3|5|A2B1C2,0|3|0|B0D0E0,0|3|1|B0D0E1,0|4|2|A0B0C2D0,0|2|2|A0B2,0|s,1|3|3|B1C1D1,0|s,0|s,0|s,1|3|5|A2B2C1,1|3|4|A1C1E2,0|s,2|s,0|4|6|M1N0O4Q1,2|5|16|A3B3C3D2E5,0|3|0|C0D0F0,0|3|0|M0N0Y0,0|s,0|s,1|s,0|s
Calothrix_sp._PCC_6303,F,0,N,1|s,2|s,0|s,1|3|9|A3B5C1,0|s,0|3|1|B0C1D0,1|4|4|B1C1D1E1,0|3|4|A0B0C4,2|3|7|B2D2E3,1|3|3|B1D1E1,0|4|0|A0B0C0D0,0|2|0|A0B0,0|s,1|3|5|B1C3D1,0|s,0|s,0|s,1|3|4|A1B1C2,0|3|5|A4C0E1,0|s,2|s,0|4|4|M1N0O3Q0,2|5|11|A2B2C2D2E3,0|3|1|C0D1F0,0|3|2|M2N0Y0,0|s,0|s,1|s,0|s
Calothrix_sp._PCC_7103,F,0,N,1|s,7|s,0|s,2|3|20|A10B8C2,0|s,0|3|1|B0C1D0,1|4|6|B3C1D1E1,0|3|3|A0B0C3,1|3|5|B2D1E2,0|3|2|B1D1E0,0|4|1|A0B0C1D0,0|2|2|A0B2,0|s,1|3|6|B1C4D1,0|s,0|s,0|s,3|3|10|A3B3C4,0|3|9|A7C0E2,1|s,3|s,0|4|6|M1N0O5Q0,3|5|17|A5B3C3D3E3,0|3|1|C0D1F0,0|3|0|M0N0Y0,0|s,0|s,2|s,1|s
Calothrix_sp._PCC_7507,F,0,N,1|s,3|s,0|s,1|3|9|A4B4C1,0|s,0|3|0|B0C0D0,0|4|1|B0C0D0E1,0|3|3|A0B0C3,1|3|4|B1D1E2,1|3|3|B1D1E1,0|4|0|A0B0C0D0,0|2|0|A0B0,0|s,1|3|5|B1C3D1,0|s,0|s,0|s,1|3|4|A1B1C2,1|3|4|A2C1E1,0|s,2|s,0|4|4|M1N0O3Q0,2|5|12|A2B2C2D3E3,0|3|1|C0D1F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Chamaesiphon_minutus_PCC_6605,F,0,N,1|s,12|s,0|s,4|3|17|A7B6C4,2|s,0|3|0|B0C0D0,1|4|4|B1C1D1E1,0|3|3|A0B0C3,1|3|5|B1D1E3,1|3|3|B1D1E1,0|4|0|A0B0C0D0,0|2|0|A0B0,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,2|3|6|A2B2C2,0|3|8|A7C0E1,0|s,2|s,0|4|2|M0N0O2Q0,2|5|11|A2B2C2D2E3,0|3|1|C0D1F0,0|3|3|M3N0Y0,1|s,0|s,1|s,0|s
Crocosphaera_watsonii_WH_0003,M,0,N,1|s,2|s,0|s,1|3|5|A2B2C1,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|0|A0B0C0,0|3|1|B0D0E1,0|3|0|B0D0E0,0|4|2|A0B1C1D0,0|2|1|A1B0,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,3|3|9|A3B3C3,0|3|3|A1C0E2,1|s,3|s,0|4|5|M1N0O4Q0,2|5|14|A3B3C3D3E2,0|3|1|C0D1F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Crocosphaera_watsonii_WH_0005,M,0,N,1|s,2|s,0|s,0|3|2|A1B0C1,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|0|A0B0C0,0|3|1|B0D0E1,0|3|0|B0D0E0,0|4|1|A0B1C0D0,0|2|0|A0B0,0|s,1|3|3|B1C1D1,0|s,0|s,0|s,2|3|7|A2B2C3,0|3|1|A0C0E1,1|s,3|s,0|4|5|M1N0O4Q0,0|5|9|A0B3C2D3E1,0|3|1|C0D1F0,0|3|0|M0N0Y0,0|s,0|s,1|s,0|s
Crocosphaera_watsonii_WH_0401,M,0,N,1|s,2|s,0|s,0|3|1|A0B1C0,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|0|A0B0C0,0|3|1|B0D0E1,0|3|0|B0D0E0,0|4|1|A0B1C0D0,0|2|1|A1B0,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,3|3|9|A3B3C3,0|3|3|A1C0E2,1|s,3|s,0|4|5|M1N0O4Q0,1|5|10|A2B3C3D1E1,0|3|1|C0D1F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Crocosphaera_watsonii_WH_0402,M,0,N,1|s,1|s,0|s,1|3|3|A1B1C1,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|0|A0B0C0,0|3|1|B0D0E1,0|3|0|B0D0E0,0|4|1|A0B1C0D0,0|2|1|A1B0,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,2|3|8|A2B3C3,0|3|3|A1C0E2,1|s,3|s,0|4|4|M1N0O3Q0,2|5|11|A2B3C2D2E2,0|3|1|C0D1F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Crocosphaera_watsonii_WH_8501,M,0,N,1|s,2|s,0|s,0|3|2|A1B1C0,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|0|A0B0C0,0|3|1|B0D0E1,0|3|0|B0D0E0,0|4|2|A0B1C1D0,0|2|1|A1B0,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,3|3|9|A3B3C3,0|3|3|A1C0E2,0|s,3|s,0|4|5|M1N0O4Q0,1|5|9|A2B2C3D1E1,0|3|0|C0D0F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Crocosphaera_watsonii_WH_8502,M,0,N,1|s,1|s,0|s,0|3|2|A0B2C0,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|0|A0B0C0,0|3|1|B0D0E1,0|3|0|B0D0E0,0|4|0|A0B0C0D0,0|2|0|A0B0,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,3|3|9|A3B3C3,0|3|2|A0C0E2,0|s,3|s,0|4|5|M1N0O4Q0,0|5|6|A2B2C2D0E0,0|3|1|C0D1F0,0|3|0|M0N0Y0,0|s,0|s,1|s,0|s
Cyanothece_sp._ATCC_51142,M,3,O,1|s,3|s,0|s,0|3|11|A6B5C0,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|1|A0B0C1,0|3|0|B0D0E0,0|3|0|B0D0E0,0|4|3|A1B1C1D0,0|2|1|A0B1,0|s,1|3|5|B1C3D1,0|s,0|s,0|s,4|3|12|A4B4C4,1|3|12|A9C1E2,1|s,4|s,0|4|5|M1N0O4Q0,3|5|15|A3B3C3D3E3,0|3|1|C0D1F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Cyanothece_sp._ATCC_51472,M,3,O,1|s,3|s,0|s,0|3|11|A6B5C0,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|1|A0B0C1,0|3|0|B0D0E0,0|3|0|B0D0E0,0|4|3|A1B1C1D0,0|2|1|A0B1,0|s,1|3|5|B1C3D1,0|s,0|s,0|s,4|3|12|A4B4C4,1|3|12|A9C1E2,1|s,4|s,0|4|5|M1N0O4Q0,3|5|15|A3B3C3D3E3,0|3|1|C0D1F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Cyanothece_sp._PCC_7425,F,3,O,2|s,5|s,0|s,1|3|18|A8B9C1,2|s,0|3|0|B0C0D0,2|4|10|B4C2D2E2,0|3|3|A0B0C3,0|3|1|B0D0E1,0|3|1|B0D0E1,0|4|9|A2B2C5D0,0|2|1|A0B1,0|s,2|3|14|B2C10D2,0|s,0|s,0|s,5|3|15|A5B5C5,1|3|13|A11C1E1,2|s,5|s,0|4|12|M2N0O9Q1,4|5|21|A4B4C4D4E5,0|3|1|C0D1F0,0|3|4|M4N0Y0,0|s,0|s,2|s,0|s
Cyanothece_sp._PCC_7822,F,3,O,1|s,2|s,0|s,0|3|7|A4B3C0,3|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|1|A0B0C1,0|3|1|B0D0E1,0|3|1|B0D0E1,0|4|4|A1B1C2D0,0|2|0|A0B0,0|s,1|3|6|B1C4D1,0|s,0|s,1|s,2|3|6|A2B2C2,0|3|5|A4C0E1,1|s,2|s,0|4|6|M1N0O5Q0,1|5|9|A2B2C2D1E2,0|3|1|C0D1F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Cyanothece_sp._PCC_8801,F,3,O,1|s,2|s,0|s,0|3|10|A5B5C0,1|s,0|3|0|B0C0D0,1|4|5|B1C1D1E2,0|3|0|A0B0C0,0|3|0|B0D0E0,0|3|1|B0D0E1,0|4|5|A2B1C2D0,0|2|0|A0B0,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,3|3|9|A3B3C3,0|3|4|A3C0E1,1|s,3|s,0|4|5|M1N0O4Q0,2|5|14|A3B3C3D2E3,0|3|1|C0D1F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Cyanothece_sp._PCC_8802,F,3,O,1|s,2|s,0|s,0|3|9|A4B5C0,1|s,0|3|0|B0C0D0,1|4|5|B1C1D1E2,0|3|0|A0B0C0,0|3|0|B0D0E0,0|3|1|B0D0E1,0|4|5|A2B1C2D0,0|2|0|A0B0,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,3|3|9|A3B3C3,0|3|5|A4C0E1,1|s,3|s,0|4|5|M1N0O4Q0,3|5|15|A3B3C3D3E3,0|3|1|C0D1F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Cylindrospermopsis_raciborskii_CS-505,F,18,F,1|s,1|s,0|s,0|3|3|A1B2C0,0|s,0|3|1|B0C1D0,0|4|1|B0C0D0E1,0|3|0|A0B0C0,0|3|0|B0D0E0,0|3|3|B0D0E3,0|4|2|A0B0C2D0,0|2|0|A0B0,0|s,1|3|4|B1C2D1,0|s,0|s,1|s,2|3|6|A2B2C2,0|3|2|A1C0E1,0|s,2|s,0|4|4|M1N0O3Q0,2|5|11|A2B2C2D3E2,0|3|1|C0D1F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Cylindrospermopsis_raciborskii_UNSW_506,F,18,F,1|s,1|s,0|s,0|3|2|A0B2C0,0|s,0|3|1|B0C1D0,0|4|1|B0C0D0E1,0|3|0|A0B0C0,0|3|0|B0D0E0,0|3|1|B0D0E1,0|4|2|A0B0C2D0,0|2|0|A0B0,0|s,0|3|3|B1C2D0,0|s,0|s,1|s,1|3|7|A3B1C3,0|3|2|A1C0E1,0|s,2|s,0|4|4|M1N0O3Q0,1|5|9|A1B2C2D2E2,0|3|0|C0D0F0,0|3|0|M0N0Y0,0|s,0|s,1|s,0|s
Dactylococcopsis_salina_PCC_8305,F,0,N,1|s,3|s,0|s,0|3|5|A2B3C0,0|s,0|3|0|B0C0D0,0|4|2|B0C0D1E1,0|3|1|A0B0C1,0|3|0|B0D0E0,0|3|0|B0D0E0,0|4|4|A1B1C2D0,0|2|1|A0B1,0|s,1|3|6|B1C4D1,0|s,0|s,0|s,3|3|9|A3B3C3,0|3|1|A0C0E1,0|s,2|s,0|4|4|M0N0O3Q1,2|5|10|A2B2C2D2E2,0|3|1|C0D1F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Dolichospermum_circinale_AWQC310F,F,0,N,1|s,1|s,0|s,0|3|1|A0B1C0,0|s,0|3|1|B0C1D0,0|4|0|B0C0D0E0,0|3|2|A0B0C2,0|3|1|B0D0E1,0|3|0|B0D0E0,0|4|0|A0B0C0D0,0|2|0|A0B0,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,1|3|6|A1B2C3,0|3|4|A3C0E1,0|s,1|s,0|4|5|M1N0O4Q0,2|5|10|A2B2C2D2E2,0|3|1|C0D1F0,0|3|0|M0N0Y0,0|s,0|s,1|s,0|s
Geminocystis_herdmanii_PCC_6308,F,0,N,1|s,2|s,0|s,0|3|10|A5B5C0,1|s,0|3|0|B0C0D0,1|4|5|B2C1D1E1,0|3|1|A0B0C1,0|3|0|B0D0E0,0|3|0|B0D0E0,0|4|5|A1B1C3D0,1|2|2|A1B1,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,3|3|9|A3B3C3,0|3|2|A0C0E2,0|s,2|s,0|4|5|M1N0O3Q1,2|5|13|A3B3C3D2E2,0|3|1|C0D1F0,0|3|0|M0N0Y0,0|s,0|s,1|s,0|s
Halothece_sp._PCC_7418,F,0,N,1|s,3|s,0|s,0|3|12|A5B7C0,1|s,0|3|1|B0C0D1,1|4|4|B1C1D1E1,0|3|1|A0B0C1,0|3|0|B0D0E0,0|3|0|B0D0E0,0|4|4|A1B1C2D0,2|2|5|A2B3,0|s,1|3|5|B1C3D1,0|s,0|s,0|s,3|3|9|A3B3C3,0|3|3|A2C0E1,0|s,2|s,0|4|5|M1N0O4Q0,2|5|11|A2B2C2D2E3,0|3|1|C0D1F0,0|3|3|M3N0Y0,0|s,0|s,1|s,0|s
Leptolyngbya_boryana_PCC_6306,F,1,O,1|s,8|s,0|s,3|3|18|A8B7C3,0|s,0|3|2|B1C0D1,1|4|9|B4C2D2E1,0|3|5|A0B0C5,1|3|3|B1D1E1,0|3|1|B0D0E1,0|4|5|A1B1C3D0,0|2|0|A0B0,0|s,1|3|7|B1C5D1,0|s,0|s,1|s,3|3|9|A3B3C3,0|3|7|A5C0E2,0|s,3|s,0|4|5|M1N0O4Q0,2|5|15|A4B3C3D2E3,0|3|1|C0D1F0,0|3|3|M3N0Y0,0|s,0|s,1|s,0|s
Leptolyngbya_sp._2LT21S03,M,1,O,1|s,1|s,0|s,0|3|4|A1B3C0,0|s,0|3|0|B0C0D0,0|4|3|B1C0D1E1,0|3|5|A0B1C4,0|3|1|B0D0E1,0|3|2|B0D0E2,0|4|3|A1B1C1D0,0|2|0|A0B0,0|s,1|3|3|B1C1D1,0|s,0|s,0|s,2|3|7|A2B3C2,0|3|3|A2C0E1,0|s,3|s,0|4|4|M1N0O2Q1,3|5|18|A4B4C4D3E3,0|3|0|C0D0F0,0|3|0|M0N0Y0,0|s,0|s,0|s,1|s
Leptolyngbya_sp._PCC_6406,F,1,O,1|s,2|s,0|s,0|3|5|A3B2C0,0|s,0|3|0|B0C0D0,0|4|1|B1C0D0E0,1|3|5|A2B2C1,1|3|4|B1D1E2,0|3|0|B0D0E0,0|4|5|A0B0C5D0,1|2|2|A1B1,0|s,1|3|5|B1C3D1,0|s,0|s,0|s,1|3|7|A3B3C1,0|3|6|A4C0E2,0|s,2|s,0|4|4|M0N0O4Q0,3|5|17|A4B3C3D3E4,0|3|1|C0D1F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Lyngbya_majuscula_3L,M,19,F,1|s,3|s,0|s,1|3|6|A2B3C1,0|s,0|3|1|B0C1D0,0|4|0|B0C0D0E0,0|3|1|A0B0C1,0|3|0|B0D0E0,0|3|1|B0D0E1,0|4|3|A1B1C1D0,0|2|1|A0B1,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,2|3|7|A3B2C2,0|3|2|A1C0E1,0|s,2|s,0|4|4|M1N0O2Q1,3|5|18|A5B3C3D4E3,0|3|0|C0D0F0,0|3|3|M3N0Y0,0|s,0|s,0|s,0|s
Lyngbya_sp._PCC_8106,M,19,F,1|s,4|s,0|s,1|3|8|A5B2C1,1|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|3|A0B0C3,0|3|0|B0D0E0,0|3|0|B0D0E0,0|4|4|A1B1C2D0,0|2|1|A0B1,0|s,1|3|4|B1C2D1,0|s,0|s,0|s,3|3|9|A3B3C3,0|3|4|A3C0E1,1|s,3|s,0|4|4|M0N0O4Q0,3|5|18|A4B3C3D4E4,0|3|1|C0D1F0,0|3|0|M0N0Y0,0|s,0|s,1|s,1|s
Microcystis_aeruginosa_DIANCHI905,F,403,F,1|s,3|s,0|s,0|3|5|A3B2C0,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|1|A0B0C1,0|3|0|B0D0E0,0|3|0|B0D0E0,0|4|3|A1B1C1D0,1|2|2|A1B1,0|s,1|3|7|B2C4D1,0|s,0|s,0|s,2|3|6|A2B2C2,0|3|4|A3C0E1,2|s,2|s,0|4|4|M1N0O3Q0,2|5|14|A3B3C3D3E2,0|3|1|C0D1F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Microcystis_aeruginosa_NIES-843,F,403,F,1|s,3|s,0|s,0|3|4|A3B1C0,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|2|A0B0C2,0|3|0|B0D0E0,0|3|1|B0D0E1,0|4|3|A1B1C1D0,1|2|2|A1B1,0|s,1|3|6|B1C4D1,0|s,0|s,0|s,2|3|6|A2B2C2,0|3|4|A4C0E0,2|s,2|s,0|4|5|M1N0O4Q0,2|5|13|A3B3C3D2E2,0|3|1|C0D1F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Microcystis_aeruginosa_PCC_7941,F,403,F,1|s,3|s,0|s,0|3|5|A3B2C0,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|2|A0B0C2,0|3|0|B0D0E0,0|3|1|B0D0E1,0|4|3|A1B1C1D0,1|2|2|A1B1,0|s,1|3|6|B1C4D1,0|s,0|s,0|s,2|3|6|A2B2C2,0|3|4|A4C0E0,2|s,2|s,0|4|6|M1N0O5Q0,2|5|13|A3B3C3D2E2,0|3|1|C0D1F0,0|3|1|M1N0Y0,0|s,0|s,1|s,0|s
Microcystis_aeruginosa_PCC_9432,F,403,F,1|s,3|s,0|s,0|3|5|A3B2C0,0|s,0|3|0|B0C0D0,0|4|0|B0C0D0E0,0|3|2|A0B0C2,0|3|0|B0D0E0,0|3|0|B0D0E0,0|4|3|A1B1C1D0,1|2|2|A1B1,0|s,1|3|6|B1C4D1,0|s,0|s,0|s,2|3|6|A2B2C2,0|3|3|A3C0E0,2|s,2|s,0|4|6|M1N0O5Q0,2|5|14|A3B3C3D3E2,0|3|1|C0D1F0,0|3|2|M2N0Y0,0|s,0|s,1|s,0|s
